# q qerr I(q) I(q)err
3.001749291795529316e-03 1.167853270244704247e-04 4.270333333333333030e+03 2.850655317122193992e+03
3.216946015612575076e-03 6.406021311444656113e-05 7.323681159420289987e+03 1.832710437001361242e+03
3.430819248455692968e-03 7.252053699931147659e-05 6.734091954022988830e+03 1.190726009366978360e+03
3.672101494117159613e-03 7.545375631879780269e-05 5.688393939393939036e+03 7.071180093124273753e+02
3.918307832378639319e-03 7.374016049620304720e-05 4.727738317757009099e+03 4.202790618439595960e+02
4.147718136434350687e-03 6.107192035677698103e-05 3.974094736842105249e+03 2.964263686350468561e+02
4.365502826808959243e-03 6.779080658174564808e-05 3.383570093457944040e+03 2.334995005776747803e+02
4.594999596112334626e-03 7.420628290313399807e-05 2.885211382113820946e+03 2.055112545223320240e+02
4.835936192065706969e-03 7.320149930589021881e-05 2.440063492063492049e+03 1.488430929332395181e+02
5.080814687701338921e-03 7.653000632488168636e-05 2.080000000000000000e+03 1.477242645381365094e+02
5.317078266608570546e-03 6.172106439101172914e-05 1.779317073170731646e+03 9.763312576009791144e+01
5.551471060931053268e-03 7.668524467813574576e-05 1.545117283950617320e+03 9.787406524438576128e+01
5.788366925541485984e-03 6.194770960560404868e-05 1.332362962962962911e+03 7.459975065879180534e+01
6.009776342023025880e-03 6.950277321810145736e-05 1.168458064516129070e+03 6.831024744756494727e+01
6.247094567316056890e-03 7.317752475420629581e-05 1.021725146198830430e+03 6.585549513798129340e+01
6.480842620397410207e-03 6.691741107424957404e-05 8.964905660377359027e+02 5.005357044767477959e+01
6.718305882023165379e-03 7.577205940640407739e-05 7.874948979591836178e+02 4.781311886599179672e+01
6.954283760887284942e-03 6.032943043655961634e-05 6.981104294478527663e+02 3.958373300234761416e+01
7.176272274730767682e-03 6.864708281211200774e-05 6.256489361702127781e+02 3.799779379957642789e+01
7.411440332622126065e-03 7.201436331295212967e-05 5.585700000000000500e+02 3.532588215459028191e+01
7.640547325048651327e-03 6.719666067278881421e-05 4.985851063829787222e+02 3.058596391027274919e+01
7.880909625388352394e-03 7.780078248694467205e-05 4.529025423728813280e+02 2.772272373142234159e+01
8.119534573631228755e-03 6.182975050629921810e-05 4.064921465968586176e+02 2.389135863917356062e+01
8.341212846027333885e-03 7.037901862628595019e-05 3.689634703196347232e+02 2.634567116607997406e+01
8.584257463478678699e-03 7.672081168970473167e-05 3.390318725099601807e+02 2.168782287197166170e+01
8.826919166718070683e-03 6.518131950376178396e-05 3.087305936073059343e+02 1.853712006128203882e+01
9.051576779129599792e-03 7.018745924619574326e-05 2.872250000000000227e+02 2.094308507598630342e+01
9.278754197832399936e-03 6.574873290523112796e-05 2.645066079295154395e+02 1.807488664681771340e+01
9.511181178050998053e-03 7.470724405325664997e-05 2.453208955223880707e+02 1.910162569081695949e+01
9.756331684265373561e-03 7.268311501543828993e-05 2.278222222222222229e+02 1.647706474319502590e+01
9.992460030236703650e-03 6.501341219802315996e-05 2.126507936507936449e+02 1.500157672069265935e+01
1.021767907988490980e-02 6.882116667024825156e-05 1.998014981273408353e+02 1.507761205858043496e+01
1.044627826021552429e-02 6.776641009522302674e-05 1.868143939393939377e+02 1.474155121367800092e+01
1.067941769640304468e-02 7.427835917673683769e-05 1.765183946488294282e+02 1.284889897083832899e+01
1.092103363594707117e-02 6.948634926740279217e-05 1.660410958904109577e+02 1.416530924878512643e+01
1.115205959515964615e-02 6.613677834257579403e-05 1.575653710247349863e+02 1.285652080593552071e+01
1.138090927839274270e-02 7.036315799772670850e-05 1.501743421052631504e+02 1.284804078481657719e+01
1.161908717993895106e-02 7.230519164610463203e-05 1.442658227848101262e+02 1.192486190096783893e+01
1.185129732832000682e-02 6.908715592862023315e-05 1.365811688311688386e+02 1.137888679820668969e+01
1.208558089049110301e-02 7.062077464939989495e-05 1.311681957186544309e+02 1.139839001335774960e+01
1.231793957662911075e-02 6.797072397413507841e-05 1.250981012658227911e+02 1.171700281399292187e+01
1.255104362664789287e-02 7.284146348496770690e-05 1.209913793103448256e+02 1.094158542973598891e+01
1.278854709885444453e-02 6.836902354776895477e-05 1.165632530120481931e+02 1.056167128919286924e+01
1.301955791686103432e-02 7.052250088700313892e-05 1.111448863636363598e+02 1.079993103958126177e+01
1.325028003696187423e-02 6.572913682214379116e-05 1.090361445783132552e+02 9.693589113870563878e+00
1.348330464865910884e-02 7.403947498893654331e-05 1.048473684210526358e+02 9.631362522733809328e+00
1.372355777471481568e-02 7.011324266142941383e-05 1.019891008174386968e+02 9.051464346895803814e+00
1.396363525470880468e-02 7.100822662538032210e-05 9.905927835051546992e+01 9.508365263831356273e+00
1.419611930545690293e-02 6.442105916470620042e-05 9.546067415730337302e+01 9.708954240825741877e+00
1.442295386479172138e-02 6.909816387485589995e-05 9.454473684210526585e+01 9.304608961285673274e+00
1.465427040331478310e-02 7.032050413528805792e-05 9.141687979539642583e+01 9.467465554381002235e+00
1.488826669148199562e-02 6.870854531503662287e-05 8.838734177215189902e+01 9.167930353336441129e+00
1.512493372137564684e-02 7.038106039296808131e-05 8.603406326034063056e+01 9.391920374202836541e+00
1.535996817115549591e-02 6.948886920014566576e-05 8.531372549019607732e+01 9.526685541608317820e+00
1.559107684366512793e-02 6.926322144844645774e-05 8.311249999999999716e+01 9.384968034042527663e+00
1.582030048556574975e-02 6.778990216657608829e-05 8.214470284237725650e+01 8.341862510176024870e+00
1.604934829520379691e-02 6.632072085052491666e-05 8.086910994764397742e+01 9.126557043852049134e+00
1.628904364851086611e-02 7.370425539511840857e-05 7.771021377672208530e+01 9.003873050846756598e+00
1.652925296731121152e-02 6.866669088367037858e-05 7.733505154639175316e+01 8.571076143881523279e+00
1.676290647126136429e-02 6.841736000850834820e-05 7.686445012787723385e+01 9.014152031461708958e+00
1.698898227523908816e-02 6.513545783602395407e-05 7.470889487870620371e+01 8.278063360273879567e+00
1.721559450095504207e-02 6.815141817037284600e-05 7.384237726098190535e+01 8.578144723638798652e+00
1.745425431013439971e-02 7.361591577158020986e-05 7.333729216152019603e+01 8.683323056285731312e+00
1.769237993647997109e-02 6.752629516254465077e-05 7.267616580310880181e+01 8.522630175404433572e+00
1.792581344598703774e-02 6.995690167491317953e-05 7.084691358024691965e+01 8.234728560077849480e+00
1.815810556613557669e-02 6.785108792352181407e-05 7.064450127877238117e+01 8.250897832107581209e+00
1.839232362436072146e-02 7.095327149885457684e-05 7.020782396088019084e+01 8.236056274200640459e+00
1.863037138017983527e-02 7.115596482089993704e-05 6.938516746411482927e+01 8.306101580086297176e+00
1.886280557207787104e-02 6.449751950033663162e-05 6.843864229765013363e+01 8.692115021169099620e+00
1.909573960115521288e-02 7.170118321703184772e-05 6.829603729603729789e+01 8.400202475734239727e+00
1.933100079269604518e-02 6.740791281490355268e-05 6.757575757575757791e+01 7.838377329998341025e+00
1.956643258492160933e-02 7.263834258317552345e-05 6.648847926267281139e+01 7.964340293029334106e+00
1.980140115393233882e-02 6.562685565221032481e-05 6.683458646616541898e+01 8.132042703368336234e+00
2.002553894851007155e-02 6.516318768203393532e-05 6.648737373737374412e+01 8.094989135078005660e+00
2.025791866108470757e-02 7.136486459924699065e-05 6.565446224256292851e+01 7.759024901118536377e+00
2.049506424590396420e-02 6.900197405484374000e-05 6.518854415274462610e+01 8.101576728015272622e+00
2.073118625762118000e-02 7.052247030088847036e-05 6.537844036697248384e+01 8.268700764874058251e+00
2.096357000287297698e-02 6.647394664901699988e-05 6.525845410628019749e+01 7.713875424804739644e+00
2.119430833328746558e-02 6.961349209216719826e-05 6.531308411214953935e+01 7.718977677497878886e+00
2.143145413784678169e-02 7.298555940605846982e-05 6.498249452954047456e+01 7.868565058816430202e+00
2.167047737296409413e-02 6.691391229536730319e-05 6.522716627634660824e+01 8.284772300937770950e+00
2.189928641736541004e-02 6.715504648428360229e-05 6.443356643356644042e+01 7.923261055719844848e+00
2.212935186570120366e-02 6.857374351609249376e-05 6.530523917995444094e+01 8.937189479011260929e+00
2.236393702227972707e-02 6.998460737683496991e-05 6.486995515695066672e+01 9.116747432826379338e+00
2.259777835583483968e-02 6.986464902764970590e-05 6.429867256637167827e+01 7.949366574101264682e+00
2.283319440761695171e-02 6.790936196889400258e-05 6.430941704035873840e+01 7.947361841295618845e+00
2.306264206423920202e-02 6.694360958493462607e-05 6.535681818181818414e+01 8.414859200955229213e+00
2.329708818082978222e-02 7.159338094189254982e-05 6.437367303609342173e+01 8.082983517549438446e+00
2.353543375433993223e-02 6.985578503684801541e-05 6.535947712418300171e+01 8.104847489978075359e+00
2.377007062717483368e-02 7.009305664980517553e-05 6.533475479744136294e+01 8.512098282303185215e+00
2.400302358301376407e-02 6.597292527615178370e-05 6.545842696629213719e+01 7.778960290690581481e+00
2.423507457935474702e-02 7.157919103467260530e-05 6.587809917355372136e+01 7.779460925683873818e+00
2.447096161315339205e-02 6.736211404920262771e-05 6.584967320261438317e+01 7.950620633778997082e+00
2.470427111069508144e-02 6.982655739072169126e-05 6.648856548856548443e+01 8.408078937874050141e+00
2.493809997853204188e-02 6.775469533352249248e-05 6.736034115138592426e+01 8.157231893695348290e+00
2.517118618717203993e-02 6.980743985615223796e-05 6.698723404255319736e+01 8.705942044948121961e+00
2.540636145408604191e-02 6.938193712001703524e-05 6.721111111111110858e+01 8.000577139675685956e+00
2.563827354025385516e-02 6.629623788449823620e-05 6.758411214953271440e+01 8.506121500332923802e+00
2.586948195348701476e-02 6.770189532135148904e-05 6.872055427251731885e+01 7.920200679399254540e+00
2.609745587984336687e-02 6.509333995869156359e-05 6.882352941176471006e+01 8.502611716272429732e+00
2.633484837400032474e-02 7.348807666944635701e-05 6.883259911894272420e+01 7.987064174256852667e+00
2.657557098811626564e-02 6.881179166339853475e-05 6.934523809523810201e+01 8.707999293791903739e+00
2.680365379537597362e-02 6.422825624438124588e-05 6.991326530612245449e+01 8.451989906638809558e+00
2.703234577850367401e-02 6.946685782169436285e-05 7.074109263657956603e+01 8.653191328424862050e+00
2.726970666685900324e-02 6.993093227310868997e-05 7.086223277909738272e+01 8.254973557905936232e+00
2.750750127458209335e-02 6.961999393279447927e-05 7.170000000000000284e+01 8.995488287125361637e+00
2.774064166089718064e-02 6.699331928476430444e-05 7.252238805970149826e+01 8.574638773054182650e+00
2.797286317169397213e-02 6.855334754057274232e-05 7.287990196078430927e+01 8.565490940057882696e+00
2.820747942598401947e-02 7.000105603626221500e-05 7.292233009708738223e+01 8.709223558016214284e+00
2.843871508024181996e-02 6.660692948204320466e-05 7.496153846153846700e+01 8.574467856013381351e+00
2.867376841695860532e-02 7.113061539282546195e-05 7.503554502369668455e+01 8.869712879411309814e+00
2.890771417331186935e-02 6.480505975226419921e-05 7.553926701570681246e+01 8.985801811365620395e+00
2.913907964587559782e-02 7.035121785828480224e-05 7.558823529411765207e+01 8.874728905650522748e+00
2.937603130710666338e-02 7.051255909955699420e-05 7.724630541871921707e+01 9.022224306528153548e+00
