# q qerr I(q) I(q)err
2.937603130710666338e-02 7.051255909955699420e-05 3.882019704433497509e+01 6.209141239274799773e+00
2.960814043237767687e-02 6.584026763423021398e-05 3.872965879265091615e+01 6.260295355504517545e+00
2.983961579365264002e-02 6.983920439112704980e-05 3.896088019559902449e+01 6.216614492941581638e+00
3.007086711816524260e-02 6.649470887843013508e-05 3.837433155080213965e+01 6.250554609497157799e+00
3.030849094681176484e-02 7.199344525738288452e-05 3.761718750000000000e+01 6.164064150295512690e+00
3.054989504902336575e-02 6.904743658252054722e-05 3.754038997214484397e+01 5.740610532926011977e+00
3.078165236014722417e-02 6.430462589111944952e-05 3.730981595092024605e+01 6.251139382011678514e+00
3.100904415161786359e-02 6.891371557748558090e-05 3.750442477876106295e+01 6.097595586774699150e+00
3.124378004707335788e-02 6.802347259085625550e-05 3.642073170731707421e+01 6.201484813376659133e+00
3.148005278710188509e-02 6.963790735804129299e-05 3.650750750750750484e+01 6.231697221983967694e+00
3.171371101549351479e-02 6.491098522060580905e-05 3.570779220779220964e+01 5.679596968423977543e+00
3.194253270530488659e-02 6.643720727097939297e-05 3.510163934426229559e+01 5.654231208245916740e+00
3.217772739409639066e-02 7.207253078604244857e-05 3.568827160493827222e+01 5.630934100004339804e+00
3.241258335410790448e-02 6.484611046219248903e-05 3.520905923344948008e+01 5.650279973707226233e+00
3.264445272271138121e-02 7.067815627986795619e-05 3.517628205128205110e+01 5.540781431868579965e+00
3.288009324972624575e-02 6.514072171913584642e-05 3.469122807017544119e+01 5.907330949016882826e+00
3.311251835395861987e-02 6.923154512368420417e-05 3.399659863945578309e+01 5.871930576754769149e+00
3.334620240946842284e-02 6.906008769013418584e-05 3.476736111111111427e+01 5.669784851504127587e+00
3.358123372194379841e-02 6.790165455744005493e-05 3.392499999999999716e+01 5.645272990994955720e+00
3.381409346726198945e-02 6.946853510284985394e-05 3.260211267605633623e+01 5.108898907398991440e+00
3.405235163866184023e-02 6.660978410321308902e-05 3.301048951048951352e+01 5.814732621365199527e+00
3.428443415797702287e-02 7.014504093919582688e-05 3.256603773584905781e+01 5.616316986655995436e+00
3.451790515064617759e-02 6.752790833138901940e-05 3.227531645569619911e+01 5.616240798917408128e+00
3.475058674309065149e-02 6.860561414856442648e-05 3.184403669724770580e+01 5.861002071761213017e+00
3.498255247524993672e-02 6.949851211445105619e-05 3.232537313432835901e+01 5.733343090163884881e+00
3.521787450520567214e-02 6.928285379750772884e-05 3.190058479532163815e+01 5.726852841937308369e+00
3.545148567192742128e-02 6.819735758945621247e-05 3.162865497076023402e+01 5.535496257741108650e+00
3.568299999600531985e-02 6.771859016455015492e-05 3.135652173913043583e+01 5.181490006682534677e+00
3.591626020472690056e-02 6.847219215976182126e-05 3.105982905982905962e+01 5.850658866348310561e+00
3.615098875833893527e-02 7.052968595604587306e-05 3.065564738292011171e+01 5.380459382685375047e+00
3.638614682571900127e-02 6.820923678434241515e-05 3.074293785310734606e+01 5.216323326498298663e+00
3.661805186382561389e-02 6.907515541028400551e-05 2.992837465564738153e+01 5.280053978484433586e+00
3.685317606104113880e-02 6.904996252045599340e-05 3.009239130434782439e+01 5.801272135356936310e+00
3.708883642168768480e-02 6.873622836593106498e-05 2.906756756756756843e+01 5.205604666276837378e+00
3.732239511597464088e-02 6.812675490547725891e-05 2.970731707317073145e+01 5.653523150521630569e+00
3.755463123269808107e-02 6.778877579542675561e-05 2.926902173913043370e+01 5.510769069060523329e+00
3.778670279175407737e-02 6.944847979951479207e-05 2.897347480106100903e+01 5.262022541534497222e+00
3.802298536488796232e-02 7.020534180361206209e-05 2.866493506493506516e+01 5.197512281662260314e+00
3.825885045270431550e-02 6.844491048717255130e-05 2.870078740157480368e+01 5.308980790812935169e+00
3.849029289296715395e-02 6.652498920162236353e-05 2.783200000000000074e+01 5.583367681486385514e+00
3.872248042820892328e-02 6.790361104831614330e-05 2.790673575129533646e+01 5.192798227058089466e+00
3.895386220490307250e-02 6.719082682281010037e-05 2.709498680738786192e+01 5.263423713387783032e+00
3.918674717410664671e-02 7.000314829290660062e-05 2.765822784810126578e+01 5.539848507580436454e+00
3.942407118577949399e-02 7.012279782529274620e-05 2.725062034739454120e+01 5.136580716026899474e+00
3.965683877455637024e-02 6.593437650155711338e-05 2.668571428571428683e+01 5.071349917078008751e+00
3.988742774945142761e-02 6.864886435371258416e-05 2.673697270471464194e+01 5.322095913422983493e+00
4.012278533538721215e-02 6.997066240485112700e-05 2.617149758454106134e+01 5.247726714884399790e+00
4.035757945334737112e-02 6.763234382336403173e-05 2.610643564356435675e+01 5.330309769148033894e+00
4.059262090047784100e-02 7.047756166092368556e-05 2.596261682242990787e+01 5.211275626834067864e+00
4.082512016076288858e-02 6.496092607463988043e-05 2.621914357682619823e+01 5.029423163861967083e+00
4.105717491102069128e-02 7.111181249420595236e-05 2.552847380410022637e+01 5.067409502784741449e+00
4.129381576814993016e-02 6.732684386414472533e-05 2.550714285714285623e+01 5.052223865427436955e+00
4.152473579130346731e-02 6.726668318915885337e-05 2.503301886792452891e+01 4.807269150531645607e+00
4.175787959977999425e-02 6.911235940839533670e-05 2.485616438356164437e+01 4.991955748304651053e+00
4.199237839299468922e-02 6.860112016482474860e-05 2.481105990783409965e+01 5.078943150967619502e+00
4.222717975068539242e-02 7.045110183040372183e-05 2.444247787610619582e+01 5.095969885769543239e+00
