# q qerr I(q) I(q)err
3.001749291795529316e-03 1.167853270244704247e-04 4.832666666666666515e+02 3.239644500387178141e+02
3.216946015612575076e-03 6.406021311444656113e-05 1.055362318840579746e+03 6.646747630553774115e+02
3.430819248455692968e-03 7.252053699931147659e-05 9.400919540229884888e+02 5.922105807158002335e+02
3.672101494117159613e-03 7.545375631879780269e-05 7.481717171717172050e+02 4.291109702314570313e+02
3.918307832378639319e-03 7.374016049620304720e-05 5.784205607476635578e+02 2.736696366968502616e+02
4.147718136434350687e-03 6.107192035677698103e-05 4.390842105263158146e+02 1.348719630857087850e+02
4.365502826808959243e-03 6.779080658174564808e-05 3.483271028037383417e+02 6.759402440717441607e+01
4.594999596112334626e-03 7.420628290313399807e-05 2.965121951219512084e+02 4.489728511378984877e+01
4.835936192065706969e-03 7.320149930589021881e-05 2.489603174603174693e+02 2.726002974074614471e+01
5.080814687701338921e-03 7.653000632488168636e-05 2.214652777777777715e+02 2.147208971139217937e+01
5.317078266608570546e-03 6.172106439101172914e-05 1.939268292682926926e+02 1.724294796176269529e+01
5.551471060931053268e-03 7.668524467813574576e-05 1.770493827160493936e+02 1.545656085894735909e+01
5.788366925541485984e-03 6.194770960560404868e-05 1.610222222222222115e+02 1.361425058275486499e+01
6.009776342023025880e-03 6.950277321810145736e-05 1.508193548387096712e+02 1.307392413147749899e+01
6.247094567316056890e-03 7.317752475420629581e-05 1.389707602339181278e+02 1.354607138866052551e+01
6.480842620397410207e-03 6.691741107424957404e-05 1.289056603773584868e+02 1.131773544643350782e+01
6.718305882023165379e-03 7.577205940640407739e-05 1.208928571428571388e+02 1.189701618764538082e+01
6.954283760887284942e-03 6.032943043655961634e-05 1.144662576687116626e+02 1.126998039607405033e+01
7.176272274730767682e-03 6.864708281211200774e-05 1.087553191489361666e+02 1.062100988907503840e+01
7.411440332622126065e-03 7.201436331295212967e-05 1.038050000000000068e+02 9.709582895263832114e+00
7.640547325048651327e-03 6.719666067278881421e-05 9.998936170212765262e+01 1.006097582221758024e+01
7.880909625388352394e-03 7.780078248694467205e-05 9.307203389830507945e+01 9.435069691035208095e+00
8.119534573631228755e-03 6.182975050629921810e-05 9.130890052356021158e+01 9.581855608861781448e+00
8.341212846027333885e-03 7.037901862628595019e-05 8.753424657534246478e+01 9.698662384178778240e+00
8.584257463478678699e-03 7.672081168970473167e-05 8.749800796812749581e+01 9.914022226170603247e+00
8.826919166718070683e-03 6.518131950376178396e-05 8.507305936073059627e+01 9.428390070059256445e+00
9.051576779129599792e-03 7.018745924619574326e-05 8.292083333333333428e+01 9.020443602050718823e+00
9.278754197832399936e-03 6.574873290523112796e-05 8.129515418502202806e+01 8.054473084483678491e+00
9.511181178050998053e-03 7.470724405325664997e-05 8.020149253731342753e+01 9.348022557180804881e+00
9.756331684265373561e-03 7.268311501543828993e-05 7.966666666666667140e+01 8.744875042341822891e+00
9.992460030236703650e-03 6.501341219802315996e-05 7.882142857142856940e+01 8.738208770509364953e+00
1.021767907988490980e-02 6.882116667024825156e-05 7.859550561797752266e+01 9.253991974387092867e+00
1.044627826021552429e-02 6.776641009522302674e-05 7.851515151515151558e+01 8.207178709468070821e+00
1.067941769640304468e-02 7.427835917673683769e-05 7.854180602006688616e+01 9.102678724920917119e+00
1.092103363594707117e-02 6.948634926740279217e-05 7.792808219178081686e+01 8.587466537634787400e+00
1.115205959515964615e-02 6.613677834257579403e-05 7.765371024734982086e+01 9.132266662635446508e+00
1.138090927839274270e-02 7.036315799772670850e-05 7.750000000000000000e+01 7.902260669214254740e+00
1.161908717993895106e-02 7.230519164610463203e-05 7.706329113924050489e+01 8.930781194719592975e+00
1.185129732832000682e-02 6.908715592862023315e-05 7.701298701298701133e+01 8.342692781936152713e+00
1.208558089049110301e-02 7.062077464939989495e-05 7.747400611620794564e+01 8.933153563752844306e+00
1.231793957662911075e-02 6.797072397413507841e-05 7.719620253164556800e+01 8.492183980096202234e+00
1.255104362664789287e-02 7.284146348496770690e-05 7.679885057471264531e+01 8.637780950203088892e+00
1.278854709885444453e-02 6.836902354776895477e-05 7.572891566265060703e+01 8.644123870343776161e+00
1.301955791686103432e-02 7.052250088700313892e-05 7.620170454545454675e+01 8.952031365748620573e+00
1.325028003696187423e-02 6.572913682214379116e-05 7.599397590361445509e+01 8.390682929489438280e+00
1.348330464865910884e-02 7.403947498893654331e-05 7.411315789473684390e+01 8.928111630424350409e+00
1.372355777471481568e-02 7.011324266142941383e-05 7.350408719346049224e+01 8.024697564293248320e+00
1.396363525470880468e-02 7.100822662538032210e-05 7.272938144329896204e+01 7.956277822327217031e+00
1.419611930545690293e-02 6.442105916470620042e-05 7.053089887640449263e+01 8.604805133172760634e+00
1.442295386479172138e-02 6.909816387485589995e-05 7.149210526315789593e+01 8.223917049335369711e+00
1.465427040331478310e-02 7.032050413528805792e-05 6.889769820971866920e+01 8.006519981637737260e+00
1.488826669148199562e-02 6.870854531503662287e-05 6.744810126582278542e+01 8.038378540636795577e+00
1.512493372137564684e-02 7.038106039296808131e-05 6.541849148418491211e+01 8.120958730123005509e+00
1.535996817115549591e-02 6.948886920014566576e-05 6.490931372549019329e+01 8.209653858381175340e+00
1.559107684366512793e-02 6.926322144844645774e-05 6.237250000000000227e+01 7.741425902248237456e+00
1.582030048556574975e-02 6.778990216657608829e-05 6.150904392764857676e+01 8.348084214485794519e+00
1.604934829520379691e-02 6.632072085052491666e-05 5.929581151832460506e+01 8.222506004854176709e+00
1.628904364851086611e-02 7.370425539511840857e-05 5.840855106888361092e+01 7.168507559787391514e+00
1.652925296731121152e-02 6.866669088367037858e-05 5.648195876288659889e+01 7.295909684119066263e+00
1.676290647126136429e-02 6.841736000850834820e-05 5.574168797953964116e+01 7.601428754837287194e+00
1.698898227523908816e-02 6.513545783602395407e-05 5.588679245283018560e+01 7.376500181007852319e+00
1.721559450095504207e-02 6.815141817037284600e-05 5.496124031007752109e+01 7.004129428897455156e+00
1.745425431013439971e-02 7.361591577158020986e-05 5.464845605700712383e+01 7.230941031477056136e+00
1.769237993647997109e-02 6.752629516254465077e-05 5.536269430051813600e+01 7.113547152347659441e+00
1.792581344598703774e-02 6.995690167491317953e-05 5.492098765432098872e+01 6.964529637249727401e+00
1.815810556613557669e-02 6.785108792352181407e-05 5.473401534526854562e+01 6.805870718990647994e+00
1.839232362436072146e-02 7.095327149885457684e-05 5.521515892420537597e+01 7.475515236610608127e+00
1.863037138017983527e-02 7.115596482089993704e-05 5.548803827751196138e+01 7.385153902058741338e+00
1.886280557207787104e-02 6.449751950033663162e-05 5.530548302872063005e+01 7.238669721971139559e+00
1.909573960115521288e-02 7.170118321703184772e-05 5.537762237762238016e+01 7.102020920764797296e+00
1.933100079269604518e-02 6.740791281490355268e-05 5.516161616161615910e+01 6.849909345012854089e+00
1.956643258492160933e-02 7.263834258317552345e-05 5.562672811059908184e+01 7.443977660821546216e+00
1.980140115393233882e-02 6.562685565221032481e-05 5.529323308270677018e+01 7.476946182537122176e+00
2.002553894851007155e-02 6.516318768203393532e-05 5.459848484848485128e+01 7.249827161951910348e+00
2.025791866108470757e-02 7.136486459924699065e-05 5.418764302059496885e+01 7.151962959702788503e+00
2.049506424590396420e-02 6.900197405484374000e-05 5.421241050119331817e+01 6.995448209123375172e+00
2.073118625762118000e-02 7.052247030088847036e-05 5.428899082568807444e+01 7.369954524586304068e+00
2.096357000287297698e-02 6.647394664901699988e-05 5.325362318840579690e+01 7.382840659521154869e+00
2.119430833328746558e-02 6.961349209216719826e-05 5.357476635514018426e+01 7.243137622868281333e+00
2.143145413784678169e-02 7.298555940605846982e-05 5.331072210065645578e+01 7.606744126161439468e+00
2.167047737296409413e-02 6.691391229536730319e-05 5.211007025761124112e+01 7.602837010259166028e+00
2.189928641736541004e-02 6.715504648428360229e-05 5.223076923076923350e+01 6.918840972939175771e+00
2.212935186570120366e-02 6.857374351609249376e-05 5.151025056947608505e+01 7.511147997726531855e+00
2.236393702227972707e-02 6.998460737683496991e-05 5.035201793721972763e+01 7.578303524467363772e+00
2.259777835583483968e-02 6.986464902764970590e-05 5.103318584070796504e+01 7.240730326410526274e+00
2.283319440761695171e-02 6.790936196889400258e-05 5.014125560538116844e+01 6.992988505226467311e+00
2.306264206423920202e-02 6.694360958493462607e-05 5.000681818181818272e+01 6.896142921233767709e+00
2.329708818082978222e-02 7.159338094189254982e-05 5.004033970276008603e+01 7.167139255442224410e+00
2.353543375433993223e-02 6.985578503684801541e-05 4.888017429193899943e+01 7.161883152075565029e+00
2.377007062717483368e-02 7.009305664980517553e-05 4.937739872068230085e+01 7.060744330550920544e+00
2.400302358301376407e-02 6.597292527615178370e-05 4.854157303370786281e+01 6.786142931882059415e+00
2.423507457935474702e-02 7.157919103467260530e-05 4.902272727272727337e+01 6.578165222991647632e+00
2.447096161315339205e-02 6.736211404920262771e-05 4.849455337690631751e+01 6.797608021053060945e+00
