# q qerr I(q) I(q)err
3.001749291795529316e-03 1.167853270244704247e-04 6.744496666666665988e+04 4.510905844484749105e+04
3.216946015612575076e-03 6.406021311444656113e-05 1.109875507246376801e+05 2.850629909300830695e+04
3.430819248455692968e-03 7.252053699931147659e-05 1.003921839080459758e+05 1.784300534361938116e+04
3.672101494117159613e-03 7.545375631879780269e-05 8.352980808080808492e+04 1.112410461322963965e+04
3.918307832378639319e-03 7.374016049620304720e-05 6.884814018691588717e+04 7.299943052547933803e+03
4.147718136434350687e-03 6.107192035677698103e-05 5.790317894736841845e+04 5.656717792181948425e+03
4.365502826808959243e-03 6.779080658174564808e-05 4.890455140186916105e+04 4.478519670541487358e+03
4.594999596112334626e-03 7.420628290313399807e-05 4.128006504065040644e+04 3.652611672326914231e+03
4.835936192065706969e-03 7.320149930589021881e-05 3.483456349206349114e+04 3.062271339770109989e+03
5.080814687701338921e-03 7.653000632488168636e-05 2.949084027777777737e+04 2.553589198133495302e+03
5.317078266608570546e-03 6.172106439101172914e-05 2.519447967479674844e+04 1.899845738664708506e+03
5.551471060931053268e-03 7.668524467813574576e-05 2.157534567901234550e+04 1.650788644276407240e+03
5.788366925541485984e-03 6.194770960560404868e-05 1.867685185185185037e+04 1.383035699945993201e+03
6.009776342023025880e-03 6.950277321810145736e-05 1.631247741935483828e+04 1.155801710721057816e+03
6.247094567316056890e-03 7.317752475420629581e-05 1.419331578947368507e+04 1.026121261666572764e+03
6.480842620397410207e-03 6.691741107424957404e-05 1.247446540880503198e+04 8.406356834916533671e+02
6.718305882023165379e-03 7.577205940640407739e-05 1.095834183673469306e+04 7.358132403590124113e+02
6.954283760887284942e-03 6.032943043655961634e-05 9.728067484662577044e+03 6.278029678266773317e+02
7.176272274730767682e-03 6.864708281211200774e-05 8.706856382978723559e+03 5.248194521296206858e+02
7.411440332622126065e-03 7.201436331295212967e-05 7.809675000000000182e+03 4.992426041014529687e+02
7.640547325048651327e-03 6.719666067278881421e-05 7.076420212765957331e+03 4.593102496609886316e+02
7.880909625388352394e-03 7.780078248694467205e-05 6.369711864406779569e+03 3.875546550774750472e+02
8.119534573631228755e-03 6.182975050629921810e-05 5.788774869109947758e+03 3.375660811339774341e+02
8.341212846027333885e-03 7.037901862628595019e-05 5.311904109589040672e+03 2.906531841769433981e+02
8.584257463478678699e-03 7.672081168970473167e-05 4.869235059760956574e+03 2.577652995798031270e+02
8.826919166718070683e-03 6.518131950376178396e-05 4.474716894977168522e+03 2.277672765290466828e+02
9.051576779129599792e-03 7.018745924619574326e-05 4.146725000000000364e+03 2.046838677794775379e+02
9.278754197832399936e-03 6.574873290523112796e-05 3.877607929515418618e+03 1.942229033443489925e+02
9.511181178050998053e-03 7.470724405325664997e-05 3.610951492537313243e+03 1.685104997049269855e+02
9.756331684265373561e-03 7.268311501543828993e-05 3.383566666666666606e+03 1.649760012476188251e+02
9.992460030236703650e-03 6.501341219802315996e-05 3.185468253968253975e+03 1.488115114152975025e+02
1.021767907988490980e-02 6.882116667024825156e-05 3.002382022471910204e+03 1.303453697479137361e+02
1.044627826021552429e-02 6.776641009522302674e-05 2.854806818181818016e+03 1.235753658297029176e+02
1.067941769640304468e-02 7.427835917673683769e-05 2.699608695652173992e+03 1.094814293149268423e+02
1.092103363594707117e-02 6.948634926740279217e-05 2.566500000000000000e+03 1.049432902956744016e+02
1.115205959515964615e-02 6.613677834257579403e-05 2.453300353356890355e+03 1.003195384215338777e+02
1.138090927839274270e-02 7.036315799772670850e-05 2.348085526315789593e+03 9.051268197421188688e+01
1.161908717993895106e-02 7.230519164610463203e-05 2.248737341772151922e+03 8.917512170643308878e+01
1.185129732832000682e-02 6.908715592862023315e-05 2.159188311688311842e+03 7.668103666406619823e+01
1.208558089049110301e-02 7.062077464939989495e-05 2.070691131498470895e+03 6.969001910410419498e+01
1.231793957662911075e-02 6.797072397413507841e-05 1.995234177215189902e+03 6.681781164279428253e+01
1.255104362664789287e-02 7.284146348496770690e-05 1.930235632183908137e+03 6.496946483906448577e+01
1.278854709885444453e-02 6.836902354776895477e-05 1.872611445783132467e+03 6.508968529947706827e+01
1.301955791686103432e-02 7.052250088700313892e-05 1.812090909090909008e+03 6.040110206085059730e+01
1.325028003696187423e-02 6.572913682214379116e-05 1.760048192771084359e+03 5.851143635274688393e+01
1.348330464865910884e-02 7.403947498893654331e-05 1.708944736842105158e+03 5.516293531106700243e+01
1.372355777471481568e-02 7.011324266142941383e-05 1.659122615803814824e+03 5.780434453997850852e+01
1.396363525470880468e-02 7.100822662538032210e-05 1.619847938144329873e+03 4.989633264131990131e+01
1.419611930545690293e-02 6.442105916470620042e-05 1.579033707865168481e+03 4.673318447846828860e+01
1.442295386479172138e-02 6.909816387485589995e-05 1.542060526315789502e+03 5.009652967340711172e+01
1.465427040331478310e-02 7.032050413528805792e-05 1.506654731457800608e+03 4.563143360317506136e+01
1.488826669148199562e-02 6.870854531503662287e-05 1.480556962025316352e+03 4.456120880222032810e+01
1.512493372137564684e-02 7.038106039296808131e-05 1.448846715328467099e+03 4.484833023121409923e+01
1.535996817115549591e-02 6.948886920014566576e-05 1.427524509803921546e+03 5.427619272385878446e+01
1.559107684366512793e-02 6.926322144844645774e-05 1.403082499999999982e+03 5.244323979313253403e+01
1.582030048556574975e-02 6.778990216657608829e-05 1.378157622739018052e+03 4.939833196180754271e+01
