# q qerr I(q) I(q)err
3.001749291795529316e-03 1.167853270244704247e-04 6.251066666666666606e+03 4.159026174977519986e+03
3.216946015612575076e-03 6.406021311444656113e-05 1.055365217391304395e+04 2.636932718866964933e+03
3.430819248455692968e-03 7.252053699931147659e-05 9.595413793103447460e+03 1.657302747463450260e+03
3.672101494117159613e-03 7.545375631879780269e-05 8.032515151515151956e+03 9.528690713288967800e+02
3.918307832378639319e-03 7.374016049620304720e-05 6.627579439252336670e+03 5.199786988286793985e+02
4.147718136434350687e-03 6.107192035677698103e-05 5.549505263157894660e+03 3.696560172380972062e+02
4.365502826808959243e-03 6.779080658174564808e-05 4.724439252336448590e+03 3.127915132939434102e+02
4.594999596112334626e-03 7.420628290313399807e-05 3.996422764227642347e+03 2.746417095234342014e+02
4.835936192065706969e-03 7.320149930589021881e-05 3.360373015873015902e+03 2.143491781388681545e+02
5.080814687701338921e-03 7.653000632488168636e-05 2.844881944444444343e+03 1.885519357240274303e+02
5.317078266608570546e-03 6.172106439101172914e-05 2.419959349593495972e+03 1.308920847662367350e+02
5.551471060931053268e-03 7.668524467813574576e-05 2.086290123456790297e+03 1.301195474615979037e+02
5.788366925541485984e-03 6.194770960560404868e-05 1.802896296296296214e+03 9.697534793438941847e+01
6.009776342023025880e-03 6.950277321810145736e-05 1.570993548387096780e+03 8.944798405910135841e+01
6.247094567316056890e-03 7.317752475420629581e-05 1.364660818713450226e+03 7.768458449682917433e+01
6.480842620397410207e-03 6.691741107424957404e-05 1.192616352201257769e+03 6.616085856848238222e+01
6.718305882023165379e-03 7.577205940640407739e-05 1.047663265306122412e+03 6.219699771182567360e+01
6.954283760887284942e-03 6.032943043655961634e-05 9.279202453987729768e+02 4.835831771518565603e+01
7.176272274730767682e-03 6.864708281211200774e-05 8.348776595744681117e+02 4.338834188881352816e+01
7.411440332622126065e-03 7.201436331295212967e-05 7.433899999999999864e+02 3.861288450763552760e+01
7.640547325048651327e-03 6.719666067278881421e-05 6.674574468085106673e+02 3.732335110017877611e+01
7.880909625388352394e-03 7.780078248694467205e-05 5.985677966101694665e+02 3.362671979414229639e+01
8.119534573631228755e-03 6.182975050629921810e-05 5.442827225130889701e+02 2.803429236137723990e+01
8.341212846027333885e-03 7.037901862628595019e-05 4.967853881278538779e+02 2.561835267430202023e+01
8.584257463478678699e-03 7.672081168970473167e-05 4.550039840637450084e+02 2.589620717048605059e+01
8.826919166718070683e-03 6.518131950376178396e-05 4.146894977168950049e+02 2.396054360747262280e+01
9.051576779129599792e-03 7.018745924619574326e-05 3.826583333333333599e+02 2.312652172170394138e+01
9.278754197832399936e-03 6.574873290523112796e-05 3.571541850220264109e+02 2.212785810796065888e+01
9.511181178050998053e-03 7.470724405325664997e-05 3.342985074626865867e+02 2.064830030864524346e+01
9.756331684265373561e-03 7.268311501543828993e-05 3.102555555555555316e+02 1.835267890650483480e+01
9.992460030236703650e-03 6.501341219802315996e-05 2.908650793650793389e+02 1.716057193909620082e+01
1.021767907988490980e-02 6.882116667024825156e-05 2.740449438202247165e+02 1.674947655484609754e+01
1.044627826021552429e-02 6.776641009522302674e-05 2.581931818181818130e+02 1.731518655001175944e+01
1.067941769640304468e-02 7.427835917673683769e-05 2.449197324414715808e+02 1.578397151838217383e+01
1.092103363594707117e-02 6.948634926740279217e-05 2.321404109589041127e+02 1.564868846113229317e+01
1.115205959515964615e-02 6.613677834257579403e-05 2.209752650176678515e+02 1.438096038607787541e+01
1.138090927839274270e-02 7.036315799772670850e-05 2.120032894736842195e+02 1.379442583837856873e+01
1.161908717993895106e-02 7.230519164610463203e-05 2.007500000000000000e+02 1.469693845669906906e+01
1.185129732832000682e-02 6.908715592862023315e-05 1.929837662337662323e+02 1.353469598646797323e+01
1.208558089049110301e-02 7.062077464939989495e-05 1.845229357798165211e+02 1.295441323941248513e+01
1.231793957662911075e-02 6.797072397413507841e-05 1.780601265822784853e+02 1.349612200764771863e+01
1.255104362664789287e-02 7.284146348496770690e-05 1.718333333333333428e+02 1.315165374272690180e+01
1.278854709885444453e-02 6.836902354776895477e-05 1.662740963855421796e+02 1.137429083256086138e+01
1.301955791686103432e-02 7.052250088700313892e-05 1.598153409090909065e+02 1.252574763010902004e+01
1.325028003696187423e-02 6.572913682214379116e-05 1.555542168674698758e+02 1.325054878532236025e+01
1.348330464865910884e-02 7.403947498893654331e-05 1.515368421052631618e+02 1.223949829688932844e+01
1.372355777471481568e-02 7.011324266142941383e-05 1.470599455040871817e+02 1.184133769143733872e+01
1.396363525470880468e-02 7.100822662538032210e-05 1.426984536082474335e+02 1.207306125455000334e+01
1.419611930545690293e-02 6.442105916470620042e-05 1.396910112359550453e+02 1.077472362678888551e+01
1.442295386479172138e-02 6.909816387485589995e-05 1.354605263157894797e+02 1.211869677953652236e+01
1.465427040331478310e-02 7.032050413528805792e-05 1.315268542199488593e+02 1.125625655918137369e+01
1.488826669148199562e-02 6.870854531503662287e-05 1.292658227848101262e+02 1.078986331964671486e+01
1.512493372137564684e-02 7.038106039296808131e-05 1.266107055961070529e+02 1.206534556098653788e+01
1.535996817115549591e-02 6.948886920014566576e-05 1.245514705882352899e+02 1.158636269332878577e+01
1.559107684366512793e-02 6.926322144844645774e-05 1.223850000000000051e+02 1.016969702105230056e+01
1.582030048556574975e-02 6.778990216657608829e-05 1.196614987080103418e+02 1.097310758165606615e+01
1.604934829520379691e-02 6.632072085052491666e-05 1.176727748691099436e+02 1.119178008401583568e+01
1.628904364851086611e-02 7.370425539511840857e-05 1.162185273159144856e+02 1.146409390073932499e+01
1.652925296731121152e-02 6.866669088367037858e-05 1.148530927835051614e+02 1.094191310161561326e+01
1.676290647126136429e-02 6.841736000850834820e-05 1.128874680306905418e+02 1.069382498174086749e+01
1.698898227523908816e-02 6.513545783602395407e-05 1.114851752021563271e+02 1.060693889231322551e+01
1.721559450095504207e-02 6.815141817037284600e-05 1.104987080103359176e+02 1.039519468368283839e+01
1.745425431013439971e-02 7.361591577158020986e-05 1.090593824228028552e+02 1.066289488684105358e+01
1.769237993647997109e-02 6.752629516254465077e-05 1.085544041450777257e+02 1.022770694840905215e+01
1.792581344598703774e-02 6.995690167491317953e-05 1.067876543209876559e+02 9.942367992514789421e+00
1.815810556613557669e-02 6.785108792352181407e-05 1.058081841432225048e+02 1.054504671478969158e+01
1.839232362436072146e-02 7.095327149885457684e-05 1.047163814180929080e+02 9.839024220845210777e+00
1.863037138017983527e-02 7.115596482089993704e-05 1.037344497607655569e+02 9.334975438804105963e+00
1.886280557207787104e-02 6.449751950033663162e-05 1.032663185378590072e+02 1.061996024878806821e+01
1.909573960115521288e-02 7.170118321703184772e-05 1.024592074592074624e+02 9.460628184024185927e+00
1.933100079269604518e-02 6.740791281490355268e-05 1.024419191919191974e+02 9.659886083331658213e+00
1.956643258492160933e-02 7.263834258317552345e-05 1.015552995391705053e+02 9.824816705481651979e+00
1.980140115393233882e-02 6.562685565221032481e-05 1.000977443609022544e+02 9.622093118217751595e+00
2.002553894851007155e-02 6.516318768203393532e-05 1.007626262626262559e+02 9.760833077201125363e+00
2.025791866108470757e-02 7.136486459924699065e-05 1.002562929061784871e+02 1.016292353830044881e+01
2.049506424590396420e-02 6.900197405484374000e-05 9.937947494033413420e+01 9.815243485336333507e+00
2.073118625762118000e-02 7.052247030088847036e-05 9.986009174311926984e+01 1.011383892578293064e+01
2.096357000287297698e-02 6.647394664901699988e-05 9.971014492753623415e+01 9.960905166199943039e+00
2.119430833328746558e-02 6.961349209216719826e-05 1.001355140186915946e+02 1.028476276321634408e+01
2.143145413784678169e-02 7.298555940605846982e-05 9.932822757111597411e+01 9.400648761529437181e+00
2.167047737296409413e-02 6.691391229536730319e-05 9.897423887587821412e+01 9.907971250511449668e+00
2.189928641736541004e-02 6.715504648428360229e-05 9.944522144522144913e+01 9.517179647922713315e+00
2.212935186570120366e-02 6.857374351609249376e-05 9.883826879271070709e+01 1.057938375866738312e+01
2.236393702227972707e-02 6.998460737683496991e-05 9.936322869955156989e+01 1.130285492918324231e+01
2.259777835583483968e-02 6.986464902764970590e-05 9.999778761061946852e+01 9.367024108709463448e+00
2.283319440761695171e-02 6.790936196889400258e-05 1.002982062780269104e+02 1.020854701819248866e+01
2.306264206423920202e-02 6.694360958493462607e-05 1.003431818181818187e+02 9.817600466795326497e+00
2.329708818082978222e-02 7.159338094189254982e-05 1.008237791932059508e+02 9.868691777194593229e+00
2.353543375433993223e-02 6.985578503684801541e-05 1.009978213507625213e+02 9.951297048478762619e+00
2.377007062717483368e-02 7.009305664980517553e-05 1.012622601279317678e+02 9.879660166154726753e+00
2.400302358301376407e-02 6.597292527615178370e-05 1.020404494382022449e+02 1.047558020270284551e+01
2.423507457935474702e-02 7.157919103467260530e-05 1.025661157024793368e+02 1.002326327295112129e+01
2.447096161315339205e-02 6.736211404920262771e-05 1.033986928104575185e+02 1.042071820904718393e+01
2.470427111069508144e-02 6.982655739072169126e-05 1.040602910602910640e+02 1.047115748052416961e+01
2.493809997853204188e-02 6.775469533352249248e-05 1.037739872068230227e+02 1.075049625781014306e+01
2.517118618717203993e-02 6.980743985615223796e-05 1.039297872340425499e+02 1.008481191777668684e+01
2.540636145408604191e-02 6.938193712001703524e-05 1.060066666666666606e+02 1.061455883488613061e+01
2.563827354025385516e-02 6.629623788449823620e-05 1.060584112149532672e+02 9.937843996378580513e+00
2.586948195348701476e-02 6.770189532135148904e-05 1.070115473441108520e+02 9.726746274892150268e+00
2.609745587984336687e-02 6.509333995869156359e-05 1.087034313725490193e+02 1.091902219319646683e+01
2.633484837400032474e-02 7.348807666944635701e-05 1.078920704845814953e+02 1.064046009449455532e+01
2.657557098811626564e-02 6.881179166339853475e-05 1.090190476190476261e+02 1.005116276934529829e+01
2.680365379537597362e-02 6.422825624438124588e-05 1.103801020408163254e+02 1.046626564618090249e+01
2.703234577850367401e-02 6.946685782169436285e-05 1.101947743467933520e+02 1.070997750872126275e+01
2.726970666685900324e-02 6.993093227310868997e-05 1.114821852731591463e+02 1.054462281207739771e+01
2.750750127458209335e-02 6.961999393279447927e-05 1.132738095238095184e+02 1.026306202733232809e+01
2.774064166089718064e-02 6.699331928476430444e-05 1.134328358208955194e+02 1.084147639646864825e+01
2.797286317169397213e-02 6.855334754057274232e-05 1.153504901960784252e+02 1.032560950963585888e+01
2.820747942598401947e-02 7.000105603626221500e-05 1.160873786407767057e+02 1.014685155477753398e+01
2.843871508024181996e-02 6.660692948204320466e-05 1.178128205128205082e+02 1.041832073652463819e+01
2.867376841695860532e-02 7.113061539282546195e-05 1.181469194312796276e+02 1.088642769023522483e+01
2.890771417331186935e-02 6.480505975226419921e-05 1.202015706806282793e+02 1.205459663671958914e+01
2.913907964587559782e-02 7.035121785828480224e-05 1.222573529411764639e+02 1.124811915585917177e+01
2.937603130710666338e-02 7.051255909955699420e-05 1.215566502463054235e+02 1.097890427816979297e+01
2.960814043237767687e-02 6.584026763423021398e-05 1.227769028871391015e+02 1.106255342657074792e+01
2.983961579365264002e-02 6.983920439112704980e-05 1.261295843520782398e+02 1.123458048021749356e+01
3.007086711816524260e-02 6.649470887843013508e-05 1.278262032085561515e+02 1.252329694376113345e+01
3.030849094681176484e-02 7.199344525738288452e-05 1.279088541666666714e+02 1.229050687501502104e+01
3.054989504902336575e-02 6.904743658252054722e-05 1.295821727019498724e+02 1.197035661720902766e+01
3.078165236014722417e-02 6.430462589111944952e-05 1.304907975460122600e+02 1.190400808798644761e+01
3.100904415161786359e-02 6.891371557748558090e-05 1.327433628318584056e+02 1.143139287899741241e+01
3.124378004707335788e-02 6.802347259085625550e-05 1.330213414634146432e+02 1.163938225867138243e+01
3.148005278710188509e-02 6.963790735804129299e-05 1.353633633633633622e+02 1.150563204513107785e+01
3.171371101549351479e-02 6.491098522060580905e-05 1.372370129870129745e+02 1.146407928475687399e+01
3.194253270530488659e-02 6.643720727097939297e-05 1.380786885245901772e+02 1.114938653960930282e+01
3.217772739409639066e-02 7.207253078604244857e-05 1.406049382716049365e+02 1.268006565160949073e+01
3.241258335410790448e-02 6.484611046219248903e-05 1.419790940766550591e+02 1.246679962487915638e+01
3.264445272271138121e-02 7.067815627986795619e-05 1.423493589743589780e+02 1.228184886884221427e+01
3.288009324972624575e-02 6.514072171913584642e-05 1.444035087719298360e+02 1.184179336821237527e+01
3.311251835395861987e-02 6.923154512368420417e-05 1.462687074829931930e+02 1.237564549492577726e+01
3.334620240946842284e-02 6.906008769013418584e-05 1.475312500000000000e+02 1.270215013513679025e+01
3.358123372194379841e-02 6.790165455744005493e-05 1.494250000000000114e+02 1.290623465063078790e+01
