# q qerr I(q) I(q)err
2.025791866108470757e-02 7.136486459924699065e-05 2.836979405034325055e+02 1.709482411844686567e+01
2.049506424590396420e-02 6.900197405484374000e-05 2.804248210023866363e+02 1.624696091886819360e+01
2.073118625762118000e-02 7.052247030088847036e-05 2.793073394495413027e+02 1.696705684589852225e+01
2.096357000287297698e-02 6.647394664901699988e-05 2.756908212560386460e+02 1.717022728952598598e+01
2.119430833328746558e-02 6.961349209216719826e-05 2.734462616822430050e+02 1.623708762905991065e+01
2.143145413784678169e-02 7.298555940605846982e-05 2.712800875273522934e+02 1.683875316231361197e+01
2.167047737296409413e-02 6.691391229536730319e-05 2.695433255269321080e+02 1.625538943618282062e+01
2.189928641736541004e-02 6.715504648428360229e-05 2.678787878787878753e+02 1.549355650395358275e+01
2.212935186570120366e-02 6.857374351609249376e-05 2.663940774487471685e+02 2.008417472636640966e+01
2.236393702227972707e-02 6.998460737683496991e-05 2.651636771300448459e+02 2.231200561857675879e+01
2.259777835583483968e-02 6.986464902764970590e-05 2.631681415929203354e+02 1.675846037691752244e+01
2.283319440761695171e-02 6.790936196889400258e-05 2.620426008968609608e+02 1.696357434835960376e+01
2.306264206423920202e-02 6.694360958493462607e-05 2.623863636363636260e+02 1.678180186889781922e+01
2.329708818082978222e-02 7.159338094189254982e-05 2.613397027600849469e+02 1.672031623734263661e+01
2.353543375433993223e-02 6.985578503684801541e-05 2.608474945533769187e+02 1.640408659120339863e+01
2.377007062717483368e-02 7.009305664980517553e-05 2.610575692963752772e+02 1.595359095591607179e+01
2.400302358301376407e-02 6.597292527615178370e-05 2.598157303370786622e+02 1.746435893038699660e+01
2.423507457935474702e-02 7.157919103467260530e-05 2.586962809917355344e+02 1.663518684280382587e+01
2.447096161315339205e-02 6.736211404920262771e-05 2.590000000000000000e+02 1.565581601716750626e+01
2.470427111069508144e-02 6.982655739072169126e-05 2.589417879417879362e+02 1.562644167820933916e+01
2.493809997853204188e-02 6.775469533352249248e-05 2.595266524520255871e+02 1.603982540201365836e+01
2.517118618717203993e-02 6.980743985615223796e-05 2.589702127659574558e+02 1.710770345279286531e+01
2.540636145408604191e-02 6.938193712001703524e-05 2.578511111111110949e+02 1.624157050120702905e+01
2.563827354025385516e-02 6.629623788449823620e-05 2.568434579439252161e+02 1.630329901396506642e+01
2.586948195348701476e-02 6.770189532135148904e-05 2.562332563510392447e+02 1.575180435171263227e+01
2.609745587984336687e-02 6.509333995869156359e-05 2.557720588235294201e+02 1.616259097068948591e+01
2.633484837400032474e-02 7.348807666944635701e-05 2.544471365638766542e+02 1.665764885058177214e+01
2.657557098811626564e-02 6.881179166339853475e-05 2.525261904761904646e+02 1.655102054796435951e+01
2.680365379537597362e-02 6.422825624438124588e-05 2.499387755102040956e+02 1.639285476095182759e+01
2.703234577850367401e-02 6.946685782169436285e-05 2.481258907363420292e+02 1.568972110690988231e+01
2.726970666685900324e-02 6.993093227310868997e-05 2.462874109263657942e+02 1.543852345228597756e+01
2.750750127458209335e-02 6.961999393279447927e-05 2.456309523809523796e+02 1.562609451948799055e+01
2.774064166089718064e-02 6.699331928476430444e-05 2.421791044776119293e+02 1.597193461913223622e+01
2.797286317169397213e-02 6.855334754057274232e-05 2.411151960784313815e+02 1.598120073438556865e+01
2.820747942598401947e-02 7.000105603626221500e-05 2.381626213592232943e+02 1.595870482480245123e+01
2.843871508024181996e-02 6.660692948204320466e-05 2.361256410256410163e+02 1.563796901616992585e+01
2.867376841695860532e-02 7.113061539282546195e-05 2.336611374407582957e+02 1.516936015979283070e+01
2.890771417331186935e-02 6.480505975226419921e-05 2.317015706806282651e+02 1.512943116936541976e+01
2.913907964587559782e-02 7.035121785828480224e-05 2.298799019607843093e+02 1.419308336607554644e+01
2.937603130710666338e-02 7.051255909955699420e-05 2.276502463054187331e+02 1.473208900186273951e+01
2.960814043237767687e-02 6.584026763423021398e-05 2.245170603674540644e+02 1.499200628366309651e+01
2.983961579365264002e-02 6.983920439112704980e-05 2.227921760391197950e+02 1.482135899613572505e+01
3.007086711816524260e-02 6.649470887843013508e-05 2.206898395721925112e+02 1.595135580293188582e+01
3.030849094681176484e-02 7.199344525738288452e-05 2.178020833333333428e+02 1.555088760334072262e+01
3.054989504902336575e-02 6.904743658252054722e-05 2.185320334261838582e+02 1.585975387243510681e+01
3.078165236014722417e-02 6.430462589111944952e-05 2.154018404907975537e+02 1.514062514778147950e+01
3.100904415161786359e-02 6.891371557748558090e-05 2.130412979351032448e+02 1.487652851538810239e+01
3.124378004707335788e-02 6.802347259085625550e-05 2.110884146341463463e+02 1.493578984396000031e+01
3.148005278710188509e-02 6.963790735804129299e-05 2.086366366366366378e+02 1.501827412076952584e+01
3.171371101549351479e-02 6.491098522060580905e-05 2.071948051948051841e+02 1.331041805786058241e+01
3.194253270530488659e-02 6.643720727097939297e-05 2.058229508196721440e+02 1.380808296128910406e+01
3.217772739409639066e-02 7.207253078604244857e-05 2.031358024691357969e+02 1.385430811610632951e+01
3.241258335410790448e-02 6.484611046219248903e-05 2.021707317073170600e+02 1.389442583417875632e+01
3.264445272271138121e-02 7.067815627986795619e-05 2.013782051282051384e+02 1.401358658496670984e+01
3.288009324972624575e-02 6.514072171913584642e-05 1.989824561403508767e+02 1.336766125759070789e+01
3.311251835395861987e-02 6.923154512368420417e-05 1.979523809523809632e+02 1.414349273635352233e+01
3.334620240946842284e-02 6.906008769013418584e-05 1.962708333333333428e+02 1.436541296653437882e+01
