# q qerr I(q) I(q)err
3.001749291795529316e-03 1.167853270244704247e-04 2.490000000000000000e+03 1.663825511684844059e+03
3.216946015612575076e-03 6.406021311444656113e-05 4.376086956521739012e+03 1.132439764307911901e+03
3.430819248455692968e-03 7.252053699931147659e-05 4.018482758620689765e+03 7.872541412008524730e+02
3.672101494117159613e-03 7.545375631879780269e-05 3.382010101010101152e+03 4.901710997913963865e+02
3.918307832378639319e-03 7.374016049620304720e-05 2.821028037383177434e+03 3.057554141919852668e+02
4.147718136434350687e-03 6.107192035677698103e-05 2.361526315789473756e+03 2.061779816343232312e+02
4.365502826808959243e-03 6.779080658174564808e-05 2.005981308411214968e+03 1.515690504226711539e+02
4.594999596112334626e-03 7.420628290313399807e-05 1.709804878048780438e+03 1.274889162072568922e+02
4.835936192065706969e-03 7.320149930589021881e-05 1.444849206349206270e+03 9.777870155201632940e+01
5.080814687701338921e-03 7.653000632488168636e-05 1.236166666666666742e+03 8.626582651359734655e+01
5.317078266608570546e-03 6.172106439101172914e-05 1.053138211382113923e+03 6.087864702471672018e+01
5.551471060931053268e-03 7.668524467813574576e-05 9.111543209876542733e+02 6.414260233205193629e+01
5.788366925541485984e-03 6.194770960560404868e-05 7.883629629629629108e+02 4.669820979817009743e+01
6.009776342023025880e-03 6.950277321810145736e-05 6.866516129032257822e+02 4.510531323467246523e+01
6.247094567316056890e-03 7.317752475420629581e-05 6.011111111111110858e+02 4.207623268218230095e+01
6.480842620397410207e-03 6.691741107424957404e-05 5.282641509433962028e+02 3.567155992513619367e+01
6.718305882023165379e-03 7.577205940640407739e-05 4.625510204081632537e+02 3.373100681111463928e+01
6.954283760887284942e-03 6.032943043655961634e-05 4.112883435582822358e+02 2.681277236580745438e+01
7.176272274730767682e-03 6.864708281211200774e-05 3.674734042553191671e+02 2.420659533231835425e+01
7.411440332622126065e-03 7.201436331295212967e-05 3.285450000000000159e+02 2.129790365270723385e+01
7.640547325048651327e-03 6.719666067278881421e-05 2.923085106382978893e+02 2.226752416441613747e+01
7.880909625388352394e-03 7.780078248694467205e-05 2.640000000000000000e+02 2.083795428978216080e+01
8.119534573631228755e-03 6.182975050629921810e-05 2.385445026178010437e+02 1.764156150417483815e+01
8.341212846027333885e-03 7.037901862628595019e-05 2.163196347031963569e+02 1.798222679176071992e+01
8.584257463478678699e-03 7.672081168970473167e-05 1.965219123505976029e+02 1.552188422897229181e+01
8.826919166718070683e-03 6.518131950376178396e-05 1.790684931506849296e+02 1.438115222263644100e+01
9.051576779129599792e-03 7.018745924619574326e-05 1.645166666666666799e+02 1.359173308792272117e+01
9.278754197832399936e-03 6.574873290523112796e-05 1.530484581497797478e+02 1.295799982840226505e+01
9.511181178050998053e-03 7.470724405325664997e-05 1.422425373134328481e+02 1.291092872885480070e+01
9.756331684265373561e-03 7.268311501543828993e-05 1.318851851851851791e+02 1.192683341382812934e+01
9.992460030236703650e-03 6.501341219802315996e-05 1.221984126984126959e+02 1.052100653375166317e+01
1.021767907988490980e-02 6.882116667024825156e-05 1.132022471910112387e+02 1.071319689150914378e+01
1.044627826021552429e-02 6.776641009522302674e-05 1.082424242424242493e+02 1.035336412767998304e+01
1.067941769640304468e-02 7.427835917673683769e-05 1.009130434782608745e+02 9.992413874025109166e+00
1.092103363594707117e-02 6.948634926740279217e-05 9.586301369863014088e+01 9.918569750525550788e+00
1.115205959515964615e-02 6.613677834257579403e-05 9.005653710247349863e+01 9.274599977746683876e+00
1.138090927839274270e-02 7.036315799772670850e-05 8.612171052631579471e+01 8.939235370915149304e+00
1.161908717993895106e-02 7.230519164610463203e-05 8.198734177215189334e+01 8.851434967134283127e+00
1.185129732832000682e-02 6.908715592862023315e-05 7.778896103896103398e+01 8.939746253657167685e+00
1.208558089049110301e-02 7.062077464939989495e-05 7.462996941896024339e+01 8.540039939516779199e+00
1.231793957662911075e-02 6.797072397413507841e-05 7.060759493670886400e+01 8.556578150328874699e+00
1.255104362664789287e-02 7.284146348496770690e-05 6.795114942528735469e+01 7.622207551541692716e+00
1.278854709885444453e-02 6.836902354776895477e-05 6.562951807228915868e+01 8.135720034811356527e+00
1.301955791686103432e-02 7.052250088700313892e-05 6.316761363636363313e+01 7.777494924366954443e+00
1.325028003696187423e-02 6.572913682214379116e-05 6.029819277108433795e+01 7.788966769646394006e+00
1.348330464865910884e-02 7.403947498893654331e-05 5.881052631578947398e+01 7.655608267808544198e+00
