# q qerr I(q) I(q)err
3.001749291795529316e-03 1.167853270244704247e-04 2.541333333333333258e+02 1.733909229116338508e+02
3.216946015612575076e-03 6.406021311444656113e-05 5.499855072463767556e+02 3.528630922875906322e+02
3.430819248455692968e-03 7.252053699931147659e-05 4.905057471264368019e+02 3.130790773170879220e+02
3.672101494117159613e-03 7.545375631879780269e-05 3.940505050505050235e+02 2.258166503505742639e+02
3.918307832378639319e-03 7.374016049620304720e-05 2.974299065420560737e+02 1.429921785393064795e+02
4.147718136434350687e-03 6.107192035677698103e-05 2.258526315789473813e+02 6.589703207706016030e+01
4.365502826808959243e-03 6.779080658174564808e-05 1.817196261682242948e+02 3.539778075455865292e+01
4.594999596112334626e-03 7.420628290313399807e-05 1.527723577235772439e+02 2.247028722376656162e+01
4.835936192065706969e-03 7.320149930589021881e-05 1.308650793650793673e+02 1.417900623058875986e+01
5.080814687701338921e-03 7.653000632488168636e-05 1.148958333333333286e+02 1.321413735080446727e+01
5.317078266608570546e-03 6.172106439101172914e-05 1.022113821138211449e+02 1.170112754178943959e+01
5.551471060931053268e-03 7.668524467813574576e-05 9.196296296296296191e+01 1.012018540939946654e+01
5.788366925541485984e-03 6.194770960560404868e-05 8.381481481481480955e+01 1.049309656135004509e+01
6.009776342023025880e-03 6.950277321810145736e-05 7.696774193548387188e+01 9.903992825187911464e+00
6.247094567316056890e-03 7.317752475420629581e-05 7.096491228070175339e+01 8.342365065656361267e+00
6.480842620397410207e-03 6.691741107424957404e-05 6.699371069182389249e+01 9.238961600485360748e+00
6.718305882023165379e-03 7.577205940640407739e-05 6.223469387755102389e+01 7.743805547974974779e+00
6.954283760887284942e-03 6.032943043655961634e-05 5.787116564417178211e+01 7.943112787930814989e+00
7.176272274730767682e-03 6.864708281211200774e-05 5.566489361702127781e+01 7.295274334410264849e+00
7.411440332622126065e-03 7.201436331295212967e-05 5.378999999999999915e+01 8.012792896362666895e+00
7.640547325048651327e-03 6.719666067278881421e-05 5.106914893617021534e+01 6.859986590755903890e+00
7.880909625388352394e-03 7.780078248694467205e-05 4.947881355932203462e+01 7.268568530345006273e+00
8.119534573631228755e-03 6.182975050629921810e-05 4.728795811518324399e+01 7.287100509208683796e+00
