# q qerr I(q) I(q)err
1.745425431013439971e-02 7.361591577158020986e-05 2.778266033254157037e+02 1.612629553587573383e+01
1.769237993647997109e-02 6.752629516254465077e-05 2.711217616580310619e+02 1.678918345998958728e+01
1.792581344598703774e-02 6.995690167491317953e-05 2.639506172839506348e+02 1.569626541750293569e+01
1.815810556613557669e-02 6.785108792352181407e-05 2.612813299232736313e+02 1.597523139115452473e+01
1.839232362436072146e-02 7.095327149885457684e-05 2.602371638141809171e+02 1.660192879726138315e+01
1.863037138017983527e-02 7.115596482089993704e-05 2.720598086124401789e+02 1.856139203148983796e+01
1.886280557207787104e-02 6.449751950033663162e-05 3.228668407310705106e+02 3.559069155881218904e+01
1.909573960115521288e-02 7.170118321703184772e-05 4.272284382284382218e+02 5.105846645253340910e+01
1.933100079269604518e-02 6.740791281490355268e-05 4.872297979797979792e+02 4.082629247218992674e+01
1.956643258492160933e-02 7.263834258317552345e-05 4.298018433179723274e+02 4.939250209821597082e+01
1.980140115393233882e-02 6.562685565221032481e-05 3.066491228070175339e+02 4.455785364661831238e+01
2.002553894851007155e-02 6.516318768203393532e-05 2.365681818181818130e+02 2.357106851397970360e+01
2.025791866108470757e-02 7.136486459924699065e-05 2.097459954233409576e+02 1.557417855710652788e+01
2.049506424590396420e-02 6.900197405484374000e-05 2.042243436754176571e+02 1.398406321343996872e+01
2.073118625762118000e-02 7.052247030088847036e-05 1.994678899082568932e+02 1.523922527683504313e+01
2.096357000287297698e-02 6.647394664901699988e-05 2.007198067632850211e+02 1.492414130524107563e+01
2.119430833328746558e-02 6.961349209216719826e-05 2.045420560747663501e+02 1.539653324909501109e+01
2.143145413784678169e-02 7.298555940605846982e-05 2.139496717724288715e+02 1.507398182492172545e+01
2.167047737296409413e-02 6.691391229536730319e-05 2.386908665105386547e+02 1.956002502631870854e+01
2.189928641736541004e-02 6.715504648428360229e-05 3.029533799533799652e+02 4.001916851255091245e+01
2.212935186570120366e-02 6.857374351609249376e-05 4.122984054669703937e+02 5.082804562065813769e+01
2.236393702227972707e-02 6.998460737683496991e-05 4.675089686098654624e+02 4.775584797599362474e+01
2.259777835583483968e-02 6.986464902764970590e-05 4.152212389380530908e+02 4.271833810034753753e+01
2.283319440761695171e-02 6.790936196889400258e-05 3.199103139013453188e+02 3.585434919519055796e+01
2.306264206423920202e-02 6.694360958493462607e-05 2.727704545454545269e+02 1.827707122721330180e+01
2.329708818082978222e-02 7.159338094189254982e-05 2.638853503184713531e+02 1.668578696878124035e+01
2.353543375433993223e-02 6.985578503684801541e-05 2.668910675381263786e+02 1.631227430211024654e+01
2.377007062717483368e-02 7.009305664980517553e-05 2.748614072494669358e+02 1.738224794009349239e+01
2.400302358301376407e-02 6.597292527615178370e-05 2.911280898876404422e+02 1.818449932372593381e+01
2.423507457935474702e-02 7.157919103467260530e-05 3.200888429752066031e+02 2.514771519923472809e+01
2.447096161315339205e-02 6.736211404920262771e-05 4.170239651416122229e+02 5.518923200892975700e+01
2.470427111069508144e-02 6.982655739072169126e-05 6.128981288981289026e+02 8.288570025365210370e+01
2.493809997853204188e-02 6.775469533352249248e-05 7.617441364605543868e+02 6.059497189889594182e+01
2.517118618717203993e-02 6.980743985615223796e-05 6.993382978723403767e+02 7.194428324303157751e+01
2.540636145408604191e-02 6.938193712001703524e-05 4.937933333333333508e+02 7.915211197201016091e+01
2.563827354025385516e-02 6.629623788449823620e-05 3.537219626168224522e+02 3.846043104118667344e+01
2.586948195348701476e-02 6.770189532135148904e-05 3.063833718244803777e+02 1.962787429997722199e+01
2.609745587984336687e-02 6.509333995869156359e-05 2.906446078431372371e+02 1.751302825581475275e+01
2.633484837400032474e-02 7.348807666944635701e-05 2.866233480176211401e+02 1.731028162421858241e+01
2.657557098811626564e-02 6.881179166339853475e-05 2.967928571428571445e+02 2.001081680281057729e+01
2.680365379537597362e-02 6.422825624438124588e-05 3.385229591836734926e+02 2.975427924662345447e+01
2.703234577850367401e-02 6.946685782169436285e-05 4.519738717339667460e+02 5.972988856337248365e+01
2.726970666685900324e-02 6.993093227310868997e-05 5.816389548693587130e+02 5.387702104701285322e+01
2.750750127458209335e-02 6.961999393279447927e-05 5.673500000000000227e+02 4.958453339884278677e+01
2.774064166089718064e-02 6.699331928476430444e-05 4.291194029850746006e+02 5.935376251364878186e+01
2.797286317169397213e-02 6.855334754057274232e-05 3.116666666666666856e+02 3.834161249042627162e+01
2.820747942598401947e-02 7.000105603626221500e-05 2.621456310679611761e+02 1.812787692380273086e+01
2.843871508024181996e-02 6.660692948204320466e-05 2.429743589743589780e+02 1.526708525476293232e+01
2.867376841695860532e-02 7.113061539282546195e-05 2.333696682464454852e+02 1.608005015066400389e+01
2.890771417331186935e-02 6.480505975226419921e-05 2.276178010471204232e+02 1.551488195839898410e+01
2.913907964587559782e-02 7.035121785828480224e-05 2.215563725490196134e+02 1.488273277370568159e+01
2.937603130710666338e-02 7.051255909955699420e-05 2.209605911330049253e+02 1.557046038415482236e+01
2.960814043237767687e-02 6.584026763423021398e-05 2.169973753280839901e+02 1.404137070264408038e+01
2.983961579365264002e-02 6.983920439112704980e-05 2.163789731051344631e+02 1.521489411043369344e+01
3.007086711816524260e-02 6.649470887843013508e-05 2.167005347593582769e+02 1.507531541407044884e+01
3.030849094681176484e-02 7.199344525738288452e-05 2.169427083333333428e+02 1.579554280911386499e+01
3.054989504902336575e-02 6.904743658252054722e-05 2.191086350974930497e+02 1.533124250809594713e+01
3.078165236014722417e-02 6.430462589111944952e-05 2.229723926380368084e+02 1.650726963172342465e+01
3.100904415161786359e-02 6.891371557748558090e-05 2.361386430678466013e+02 1.704761875073582544e+01
3.124378004707335788e-02 6.802347259085625550e-05 2.679603658536585158e+02 2.438639946835816019e+01
