# q qerr I(q) I(q)err
3.001749291795529316e-03 1.167853270244704247e-04 1.423799999999999955e+03 9.609500875002127032e+02
3.216946015612575076e-03 6.406021311444656113e-05 3.035217391304347984e+03 1.714482247263433919e+03
3.430819248455692968e-03 7.252053699931147659e-05 2.722298850574712560e+03 1.523060879564250627e+03
3.672101494117159613e-03 7.545375631879780269e-05 2.216161616161616166e+03 1.098394354196562745e+03
3.918307832378639319e-03 7.374016049620304720e-05 1.749242990654205641e+03 7.014501862479118017e+02
4.147718136434350687e-03 6.107192035677698103e-05 1.368210526315789366e+03 3.454705410550110969e+02
4.365502826808959243e-03 6.779080658174564808e-05 1.129859813084112147e+03 1.745421984434438230e+02
4.594999596112334626e-03 7.420628290313399807e-05 9.744796747967479860e+02 1.047276444065336847e+02
4.835936192065706969e-03 7.320149930589021881e-05 8.487619047619048160e+02 6.456727874477067530e+01
5.080814687701338921e-03 7.653000632488168636e-05 7.583680555555555429e+02 4.927543485285819713e+01
5.317078266608570546e-03 6.172106439101172914e-05 6.821788617886178372e+02 3.516606872328386402e+01
5.551471060931053268e-03 7.668524467813574576e-05 6.311481481481481524e+02 3.365305854357061577e+01
5.788366925541485984e-03 6.194770960560404868e-05 5.827925925925925412e+02 2.701590549139321240e+01
6.009776342023025880e-03 6.950277321810145736e-05 5.474129032258064171e+02 2.590989188318899394e+01
6.247094567316056890e-03 7.317752475420629581e-05 5.115906432748537895e+02 2.625726696098280755e+01
6.480842620397410207e-03 6.691741107424957404e-05 4.815660377358490791e+02 2.531271371727583386e+01
6.718305882023165379e-03 7.577205940640407739e-05 4.623061224489795791e+02 2.404989910194693081e+01
6.954283760887284942e-03 6.032943043655961634e-05 4.400245398773006400e+02 2.354266801060306591e+01
7.176272274730767682e-03 6.864708281211200774e-05 4.247872340425531661e+02 2.185886506413951480e+01
7.411440332622126065e-03 7.201436331295212967e-05 4.129950000000000045e+02 2.116128422378944052e+01
7.640547325048651327e-03 6.719666067278881421e-05 3.969255319148936110e+02 1.828757905681249696e+01
7.880909625388352394e-03 7.780078248694467205e-05 3.867796610169491487e+02 1.980020138079176206e+01
8.119534573631228755e-03 6.182975050629921810e-05 3.781151832460732862e+02 1.948950330344079518e+01
8.341212846027333885e-03 7.037901862628595019e-05 3.724063926940639249e+02 1.880047087758239854e+01
8.584257463478678699e-03 7.672081168970473167e-05 3.670876494023904115e+02 1.858812963149895126e+01
8.826919166718070683e-03 6.518131950376178396e-05 3.632785388127853707e+02 1.823330382464445165e+01
9.051576779129599792e-03 7.018745924619574326e-05 3.631583333333333599e+02 1.926472831224059590e+01
9.278754197832399936e-03 6.574873290523112796e-05 3.634713656387665424e+02 1.865735971545657179e+01
9.511181178050998053e-03 7.470724405325664997e-05 3.631791044776119293e+02 1.854528363520681111e+01
9.756331684265373561e-03 7.268311501543828993e-05 3.640555555555555429e+02 1.877313113667768363e+01
9.992460030236703650e-03 6.501341219802315996e-05 3.667460317460317469e+02 1.977517403686907116e+01
1.021767907988490980e-02 6.882116667024825156e-05 3.684981273408239417e+02 1.660797687397487366e+01
1.044627826021552429e-02 6.776641009522302674e-05 3.722310606060606233e+02 1.855694923778620620e+01
