0.0601	301858381921.0
0.0625	298696347155.0
0.0648	297147055513.0
0.0672	297031376750.0
0.0695	298347978805.0
0.0718	301079983607.0
0.0741	305274402401.0
0.0764	311008421443.0
0.0788	318752746967.0
0.0812	328461959031.0
0.0834	339274472717.0
0.0858	353414281242.0
0.0883	371109806008.0
0.0905	389568715497.0
0.0928	412223736932.0
0.0951	438880460065.0
0.0976	473217971235.0
0.0999	510660344384.0
0.102	550632201910.0
0.104	594681031613.0
0.107	673630363480.0
0.109	736195970750.0
0.112	847049511021.0
0.114	932924617014.0
0.116	1.0277768315e+12
0.119	1.18099237642e+12
0.121	1.28176702701e+12
0.123	1.36977020071e+12
0.126	1.44846281901e+12
0.128	1.44750077671e+12
0.13	1.39767966491e+12
0.133	1.2455917941e+12
0.135	1.11336509396e+12
0.137	974591519760.0
0.14	778561135029.0
0.142	664580623168.0
0.144	566111234117.0
0.147	445962149284.0
0.149	381850015591.0
0.151	328351751541.0
0.154	264234371666.0
0.156	230098438407.0
0.158	201445076319.0
0.16	177311098173.0
0.163	147912091446.0
0.165	131966798138.0
0.168	112362699622.0
0.17	101635935838.0
0.172	92430098153.4
0.175	80904629246.3
0.177	74394441854.4
0.179	68564055786.0
0.182	60690482957.3
0.184	55846391269.2
0.186	51273390806.1
0.189	44955100542.8
0.191	41146478888.6
0.193	37680132162.9
0.196	33109064847.5
0.198	30449840525.7
0.2	28067787756.2
0.203	24948413917.8
0.205	23129916997.2
0.207	21490569430.8
0.21	19319344684.4
0.212	18036117351.5
0.214	16865742453.6
0.217	15294153077.7
0.219	14354371319.4
0.221	13491403222.7
0.224	12326175043.5
0.226	11626986080.4
0.228	10984010046.4
0.231	10115577257.1
0.233	9595261743.01
0.235	9118163529.02
0.238	8477735216.74
0.24	8097580000.87
0.242	7752406261.53
0.245	7295249510.97
0.247	7026477378.28
0.249	6781240109.65
0.252	6442136952.45
0.254	6221755347.61
0.256	5994580340.23
0.259	5627591186.52
0.261	5365586637.95
0.263	5096626739.52
0.266	4698431191.62
0.268	4446510946.82
0.27	4210137140.4
0.273	3887394332.0
0.275	3692918226.97
0.277	3513631533.9
0.28	3269958981.1
0.282	3122185461.1
0.284	2984533827.81
0.287	2794387305.34
0.289	2677054031.87
0.291	2566381768.36
0.294	2411720469.94
0.296	2315604733.58
0.298	2224687331.34
0.301	2097347945.99
0.303	2018014855.46
0.305	1942773240.67
0.308	1836964599.9
0.31	1770751833.26
0.312	1707727934.51
0.315	1618717070.42
0.317	1562787608.74
0.319	1509391153.93
0.322	1433718073.83
0.324	1386018716.78
0.326	1340374038.94
0.329	1275512981.8
0.331	1234525018.27
0.333	1195227720.01
0.336	1139260386.46
0.338	1103816589.69
0.341	1053266720.04
0.343	1021210866.65
0.345	990395913.894
